shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SHP_PNR,14.6098,120.9883,4,4.448
SHP_PNR,14.5994,120.988,5,5.605
SHP_PNR,14.5793,120.9888,6,7.842
SHP_PNR,14.5838,121.0044,7,9.594
SHP_PNR,14.5924,121.0127,8,10.902
SHP_PNR,14.5713,120.9913,9,14.19
SHP_PNR,14.5562,121.0108,10,16.877
SHP_PNR,14.5656,121.0152,11,18.025
SHP_PNR,14.5268,121.0043,12,22.496
SHP_PNR,14.5071,121.0396,13,26.882
SHP_PNR,14.4985,121.0252,14,28.703
SHP_PNR,14.473,121.0357,15,31.756
SHP_PNR,14.4335,121.0204,16,36.447
SHP_PNR,14.4097,121.0472,17,40.363
SHP_EDSA_CAR,14.4947,120.9925,1,0.0
SHP_EDSA_CAR,14.5249,120.993,2,3.359
SHP_EDSA_CAR,14.5347,120.9834,3,4.86
SHP_EDSA_CAR,14.5376,121.0003,4,6.708
SHP_EDSA_CAR,14.542,121.0422,5,11.244
SHP_EDSA_CAR,14.5491,121.0478,6,12.237
SHP_EDSA_CAR,14.5605,121.035,7,14.109
SHP_EDSA_CAR,14.5689,121.0469,8,15.694
SHP_EDSA_CAR,14.5762,121.039,9,16.87
SHP_EDSA_CAR,14.5818,121.0527,10,18.47
SHP_EDSA_CAR,14.5876,121.0567,11,19.246
SHP_EDSA_CAR,14.609,121.038,12,22.362
SHP_EDSA_CAR,14.6194,121.0533,13,24.374
SHP_EDSA_CAR,14.6356,121.0412,14,26.596
SHP_EDSA_CAR,14.6441,121.0399,15,27.552
SHP_EDSA_CAR,14.651,121.032,16,28.697
SHP_EDSA_CAR,14.6522,121.0328,17,28.856
SHP_EDSA_CAR,14.6634,121.01,18,31.606
SHP_EDSA_CAR,14.6561,120.984,19,34.519
SHP_EDSA_CAR,14.7188,121.0584,20,45.132
SHP_BGC_EAST_EXPRESS,14.5484,121.0546,1,0.0
SHP_BGC_EAST_EXPRESS,14.558,121.0545,2,1.068
SHP_BGC_EAST_EXPRESS,14.5581,121.0635,3,2.036
SHP_BGC_EAST_EXPRESS,14.5876,121.0567,4,5.397
SHP_BGC_NORTH_EXPRESS,14.5484,121.0546,1,0.0
SHP_BGC_NORTH_EXPRESS,14.555,121.048,2,1.021
SHP_BGC_NORTH_EXPRESS,14.5491,121.0478,3,1.678
SHP_BGC_NORTH_EXPRESS,14.5605,121.043,4,3.047
SHP_BGC_NORTH_EXPRESS,14.5876,121.0567,5,6.401
SHP_BGC_NORTH_EXPRESS,14.5876,121.0517,6,6.939
SHP_BGC_UPPER_WEST_EXPRESS,14.5484,121.0546,1,0.0
SHP_BGC_UPPER_WEST_EXPRESS,14.5491,121.0478,2,0.736
SHP_BGC_UPPER_WEST_EXPRESS,14.5376,121.0003,3,6.006
SHP_BGC_UPPER_WEST_EXPRESS,14.5347,120.9834,4,7.853
SHP_BGC_LOWER_WEST_EXPRESS,14.5484,121.0546,1,0.0
SHP_BGC_LOWER_WEST_EXPRESS,14.542,121.0422,2,1.513
SHP_BGC_LOWER_WEST_EXPRESS,14.5376,121.0003,3,6.049
SHP_BGC_LOWER_WEST_EXPRESS,14.5347,120.9834,4,7.896
SHP_BGC_LOWER_WEST_EXPRESS,14.4947,120.9925,5,12.451
SHP_BGC_CENTRAL,14.5484,121.0546,1,0.0
SHP_BGC_CENTRAL,14.5517,121.0515,2,0.496
SHP_BGC_CENTRAL,14.5551,121.0482,3,1.015
SHP_BGC_CENTRAL,14.5555,121.0538,4,1.619
SHP_BGC_CENTRAL,14.5498,121.0483,5,2.486
SHP_BGC_CENTRAL,14.5484,121.0546,6,3.182
SHP_BGC_NIGHT,14.5484,121.0546,1,0.0
SHP_BGC_NIGHT,14.553,121.0502,2,0.697
SHP_BGC_NIGHT,14.5576,121.0506,3,1.21
SHP_BGC_NIGHT,14.5484,121.0546,4,2.32
SHP_BGC_WEEKEND,14.5484,121.0546,1,0.0
SHP_BGC_WEEKEND,14.5421,121.0577,2,0.776
SHP_BGC_WEEKEND,14.5453,121.057,3,1.14
SHP_BGC_WEEKEND,14.5364,121.0581,4,2.136
SHP_BGC_WEEKEND,14.5347,120.9834,5,10.179
SHP_BGC_ARCA_SOUTH_EXPRESS,14.5484,121.0546,1,0.0
SHP_BGC_ARCA_SOUTH_EXPRESS,14.5305,121.0513,2,2.022
SHP_BGC_ARCA_SOUTH_EXPRESS,14.4885,121.021,3,7.718
SHP_BGC_AYALA_EXPRESS,14.5484,121.0546,1,0.0
SHP_BGC_AYALA_EXPRESS,14.5566,121.048,2,1.156
SHP_BGC_AYALA_EXPRESS,14.5537,121.0299,3,3.13
SHP_BGC_AYALA_EXPRESS,14.5491,121.0478,4,5.124
SHP_BGC_NUVALI_EXPRESS,14.5484,121.0546,1,0.0
SHP_BGC_NUVALI_EXPRESS,14.542,121.0422,2,1.513
SHP_BGC_NUVALI_EXPRESS,14.4225,121.0272,3,14.898
SHP_BGC_NUVALI_EXPRESS,14.393,121.018,4,18.325
SHP_BGC_NUVALI_EXPRESS,14.215,121.142,5,42.205
SHP_QCB_1,14.6893,121.0965,1,0.0
SHP_QCB_1,14.6893,121.0965,2,0.0
SHP_QCB_1,14.6893,121.0645,3,3.442
SHP_QCB_1,14.6498,121.0466,4,8.238
SHP_QCB_1,14.6194,121.0533,5,11.694
SHP_QCB_2,14.6498,121.0466,1,0.0
SHP_QCB_2,14.6697,121.0321,2,2.707
SHP_QCB_2,14.6893,121.0965,3,9.969
SHP_QCB_2,14.6969,121.096,4,10.816
SHP_QCB_3,14.5989,120.9851,1,0.0
SHP_QCB_3,14.6066,121.0001,2,1.827
SHP_QCB_3,14.6498,121.0466,3,8.763
SHP_QCB_3,14.6309,121.0697,4,12.017
SHP_QCB_4,14.6498,121.0466,1,0.0
SHP_QCB_4,14.6522,121.0328,2,1.508
SHP_QCB_4,14.738,121.055,3,11.343
SHP_QCB_4,14.738,121.055,4,11.343
SHP_QCB_5,14.6498,121.0466,1,0.0
SHP_QCB_5,14.66,121.0256,2,2.528
SHP_QCB_5,14.6764,121.0136,3,4.762
SHP_QCB_6,14.6498,121.0466,1,0.0
SHP_QCB_6,14.6441,121.0399,2,0.96
SHP_QCB_6,14.598,121.0222,3,6.428
SHP_QCB_7,14.6498,121.0466,1,0.0
SHP_QCB_7,14.6309,121.0697,2,3.255
SHP_QCB_7,14.6547,121.0659,3,5.933
SHP_QCB_7,14.6063,121.0808,4,11.548
SHP_QCB_8,14.6498,121.0466,1,0.0
SHP_QCB_8,14.6522,121.0328,2,1.508
SHP_QCB_8,14.6397,121.03,3,2.931
SHP_QCB_8,14.6561,120.984,4,8.205
SHP_BUS_2,14.5275,121.1522,1,0.0
SHP_BUS_2,14.5819,121.0851,2,9.42
SHP_BUS_2,14.5876,121.0567,3,12.542
SHP_BUS_2,14.5974,120.9817,4,20.685
SHP_BUS_3,14.6289,121.1148,1,0.0
SHP_BUS_3,14.6458,121.0934,2,2.972
SHP_BUS_3,14.5819,121.0851,3,10.133
SHP_BUS_3,14.5974,120.9817,4,21.393
SHP_BUS_4,14.4947,120.9925,1,0.0
SHP_BUS_4,14.5241,120.995,2,3.28
SHP_BUS_4,14.5605,121.035,3,9.189
SHP_BUS_4,14.5484,121.0546,4,11.691
SHP_BUS_5,14.699,120.962,1,0.0
SHP_BUS_5,14.6561,120.984,2,5.325
SHP_BUS_5,14.6522,121.0328,3,10.593
SHP_BUS_5,14.6194,121.0533,4,14.855
SHP_BUS_5,14.5876,121.0567,5,18.41
SHP_BUS_5,14.5376,121.0003,6,26.641
SHP_BUS_5,14.4947,120.9925,7,31.485
SHP_BUS_6,14.8055,120.9817,1,0.0
SHP_BUS_6,14.738,121.055,2,10.883
SHP_BUS_6,14.7188,121.0584,3,13.049
SHP_BUS_6,14.6893,121.0645,4,16.395
SHP_BUS_6,14.6522,121.0328,5,21.747
SHP_BUS_6,14.6498,121.0466,6,23.255
SHP_BUS_6,14.4947,120.9925,7,41.458
SHP_BUS_7,14.7188,121.0584,1,0.0
SHP_BUS_7,14.6893,121.0645,2,3.345
SHP_BUS_7,14.6522,121.0328,3,8.697
SHP_BUS_7,14.6498,121.0466,4,10.206
SHP_BUS_7,14.4947,120.9925,5,28.408
SHP_BUS_8,14.9265,121.0215,1,0.0
SHP_BUS_8,14.7996,120.9219,2,17.711
SHP_BUS_8,14.699,120.962,3,29.7
SHP_BUS_8,14.6561,120.984,4,35.025
SHP_BUS_8,14.5986,120.9664,5,41.693
SHP_BUS_9,14.9265,121.0215,1,0.0
SHP_BUS_9,14.7996,120.9219,2,17.711
SHP_BUS_9,14.699,120.962,3,29.7
SHP_BUS_9,14.6561,120.984,4,35.025
SHP_BUS_10,14.5491,121.0478,1,0.0
SHP_BUS_10,14.542,121.0422,2,0.993
SHP_BUS_10,14.4225,121.0272,3,14.379
SHP_BUS_11,14.5376,121.0003,1,0.0
SHP_BUS_11,14.5491,121.0478,2,5.27
SHP_BUS_11,14.542,121.0422,3,6.263
SHP_BUS_11,14.4225,121.0272,4,19.649
SHP_BUS_11,14.271,121.1031,5,38.374
SHP_BUS_12,14.5491,121.0478,1,0.0
SHP_BUS_12,14.542,121.0422,2,0.993
SHP_BUS_12,14.4225,121.0272,3,14.379
SHP_BUS_12,14.32,121.0856,4,27.397
SHP_BUS_13,14.7211,121.0585,1,0.0
SHP_BUS_13,14.699,120.9611,2,10.76
SHP_BUS_13,14.7023,120.9622,3,11.145
SHP_BUS_13,14.6173,120.99,4,21.059
SHP_BUS_13,14.598,120.98,5,23.459
SHP_BUS_14,14.814,120.905,1,0.0
SHP_BUS_14,14.7996,120.9219,2,2.422
SHP_BUS_14,14.699,120.962,3,14.41
SHP_BUS_14,14.6561,120.984,4,19.735
SHP_BUS_14,14.5376,121.0003,5,33.028
SHP_BUS_14,14.4947,120.9925,6,37.872
SHP_BUS_15,14.5484,121.0546,1,0.0
SHP_BUS_15,14.542,121.0422,2,1.513
SHP_BUS_15,14.4225,121.0272,3,14.898
SHP_BUS_15,14.299,121.06,4,29.078
SHP_BUS_15,14.271,121.1031,5,34.669
SHP_BUS_16,14.6063,121.0808,1,0.0
SHP_BUS_16,14.61,121.065,2,1.749
SHP_BUS_16,14.5819,121.0851,3,5.549
SHP_BUS_16,14.5347,120.9834,4,17.688
SHP_BUS_17,14.7188,121.0584,1,0.0
SHP_BUS_17,14.7188,121.0584,2,0.0
SHP_BUS_17,14.6441,121.0399,3,8.541
SHP_BUS_17,14.6498,121.0466,4,9.501
SHP_BUS_17,14.638,121.0396,5,11.014
SHP_BUS_17,14.5491,121.0478,6,20.939
SHP_BUS_18,14.6522,121.0328,1,0.0
SHP_BUS_18,14.5484,121.0546,2,11.778
SHP_BUS_18,14.5364,121.0581,3,13.164
SHP_BUS_18,14.5347,120.9834,4,21.207
SHP_BUS_18,14.4947,120.9925,5,25.761
SHP_BUS_19,14.9264,121.0461,1,0.0
SHP_BUS_19,14.7575,120.9574,2,21.062
SHP_BUS_19,14.699,120.962,3,27.586
SHP_BUS_19,14.6173,120.99,4,37.157
SHP_BUS_19,14.598,120.98,5,39.558
SHP_BUS_20,14.8055,120.9817,1,0.0
SHP_BUS_20,14.699,120.9611,2,12.048
SHP_BUS_20,14.7023,120.9622,3,12.433
SHP_BUS_20,14.6173,120.99,4,22.347
SHP_BUS_20,14.598,120.98,5,24.747
SHP_BUS_21,14.8055,120.9817,1,0.0
SHP_BUS_21,14.699,120.962,2,12.03
SHP_BUS_21,14.6173,120.99,3,21.601
SHP_BUS_21,14.598,120.98,4,24.002
SHP_BUS_22,14.8215,121.0003,1,0.0
SHP_BUS_22,14.699,120.962,2,14.23
SHP_BUS_22,14.6522,121.0328,3,23.454
SHP_BUS_22,14.6498,121.0466,4,24.963
SHP_BUS_22,14.4947,120.9925,5,43.165
SHP_BUS_23,14.4225,121.0272,1,0.0
SHP_BUS_23,14.438,120.988,2,4.56
SHP_BUS_23,14.4498,120.98,3,6.129
SHP_BUS_23,14.593,120.9727,4,22.072
SHP_BUS_24,14.4225,121.0272,1,0.0
SHP_BUS_24,14.438,120.995,2,3.872
SHP_BUS_24,14.4947,120.9925,3,10.183
SHP_BUS_24,14.5376,121.0003,4,15.026
SHP_BUS_24,14.593,120.9727,5,21.865
SHP_BUS_25,14.32,121.0856,1,0.0
SHP_BUS_25,14.299,121.06,2,3.614
SHP_BUS_25,14.4225,121.0272,3,17.794
SHP_BUS_25,14.4947,120.9925,4,26.649
SHP_BUS_25,14.5376,121.0003,5,31.492
SHP_BUS_25,14.593,120.9727,6,38.331
SHP_BUS_26,14.4947,120.9925,1,0.0
SHP_BUS_26,14.42,120.94,2,10.047
SHP_BUS_26,14.38,120.92,3,14.989
SHP_BUS_27,14.33,120.95,1,0.0
SHP_BUS_27,14.4551,120.9637,2,13.989
SHP_BUS_27,14.4947,120.9925,3,19.374
SHP_BUS_27,14.593,120.9727,4,30.51
SHP_BUS_28,14.4947,120.9925,1,0.0
SHP_BUS_28,14.328,120.7726,2,30.074
SHP_BUS_29,14.4947,120.9925,1,0.0
SHP_BUS_29,14.42,120.94,2,10.047
SHP_BUS_29,14.33,120.95,3,20.113
SHP_BUS_29,14.28,120.95,4,25.672
SHP_BUS_30,14.271,121.1031,1,0.0
SHP_BUS_30,14.4225,121.0272,2,18.725
SHP_BUS_30,14.4947,120.9925,3,27.581
SHP_BUS_31,14.4947,120.9925,1,0.0
SHP_BUS_31,14.2822,120.8627,2,27.455
SHP_BUS_31,14.26,120.84,3,30.93
SHP_BUS_32,14.4947,120.9925,1,0.0
SHP_BUS_32,14.3009,121.0138,2,21.671
SHP_BUS_33,14.8288,120.9396,1,0.0
SHP_BUS_33,14.7023,120.9622,2,14.275
SHP_BUS_33,14.699,120.9611,3,14.66
SHP_BUS_33,14.6561,120.984,4,20.029
SHP_BUS_33,14.6522,121.0328,5,25.296
SHP_BUS_34,14.729,121.1267,1,0.0
SHP_BUS_34,14.6893,121.0965,2,5.481
SHP_BUS_34,14.6893,121.0645,3,8.923
SHP_BUS_34,14.6441,121.0399,4,14.603
SHP_BUS_34,14.6498,121.0466,5,15.562
SHP_BUS_34,14.4947,120.9925,6,33.765
SHP_BUS_35,14.814,120.905,1,0.0
SHP_BUS_35,14.7996,120.9219,2,2.422
SHP_BUS_35,14.699,120.962,3,14.41
SHP_BUS_35,14.7023,120.9622,4,14.778
SHP_BUS_35,14.699,120.9611,5,15.163
SHP_BUS_35,14.5093,121.0182,6,37.134
SHP_BUS_36,14.7188,121.0584,1,0.0
SHP_BUS_36,14.7188,121.0584,2,0.0
SHP_BUS_36,14.6522,121.0328,3,7.901
SHP_BUS_36,14.6063,121.0808,4,15.162
SHP_BUS_36,14.5581,121.0635,5,20.835
SHP_BUS_36,14.5484,121.0546,6,22.278
SHP_BUS_36,14.542,121.0422,7,23.791
SHP_BUS_36,14.4225,121.0272,8,37.176
SHP_BUS_37,14.7188,121.0584,1,0.0
SHP_BUS_37,14.738,121.055,2,2.166
SHP_BUS_37,14.7023,120.9622,3,12.907
SHP_BUS_37,14.699,120.9611,4,13.292
SHP_BUS_37,14.6561,120.984,5,18.661
SHP_BUS_38,14.7188,121.0584,1,0.0
SHP_BUS_38,14.6522,121.0328,2,7.901
SHP_BUS_38,14.6491,120.9671,3,14.977
SHP_BUS_38,14.5491,121.0478,4,29.086
SHP_BUS_38,14.299,121.06,5,56.927
SHP_BUS_39,14.7188,121.0584,1,0.0
SHP_BUS_39,14.7188,121.0584,2,0.0
SHP_BUS_39,14.6522,121.0328,3,7.901
SHP_BUS_39,14.6063,121.0808,4,15.162
SHP_BUS_39,14.5484,121.0546,5,22.19
SHP_BUS_39,14.299,121.06,6,49.928
SHP_BUS_40,14.7188,121.0584,1,0.0
SHP_BUS_40,14.7188,121.0584,2,0.0
SHP_BUS_40,14.6522,121.0328,3,7.901
SHP_BUS_40,14.6498,121.0466,4,9.409
SHP_BUS_40,14.5491,121.0478,5,20.607
SHP_BUS_40,14.4225,121.0272,6,34.858
SHP_BUS_41,14.7188,121.0584,1,0.0
SHP_BUS_41,14.7188,121.0584,2,0.0
SHP_BUS_41,14.6522,121.0328,3,7.901
SHP_BUS_41,14.6063,121.0808,4,15.162
SHP_BUS_41,14.6063,121.0808,5,15.162
SHP_BUS_41,14.5649,121.0404,6,21.494
SHP_BUS_41,14.5422,121.074,7,25.904
SHP_BUS_41,14.5071,121.0396,8,31.284
SHP_BUS_42,14.6863,121.0753,1,0.0
SHP_BUS_42,14.699,120.9611,2,12.364
SHP_BUS_42,14.7023,120.9622,3,12.75
SHP_BUS_42,14.5491,121.0478,4,32.115
SHP_BUS_43,14.4947,120.9925,1,0.0
SHP_BUS_43,14.5093,121.0182,2,3.208
SHP_BUS_43,14.5091,121.0196,3,3.36
SHP_BUS_44,14.4225,121.0272,1,0.0
SHP_BUS_44,14.473,121.0357,2,5.689
SHP_BUS_44,14.4985,121.0252,3,8.742
SHP_BUS_44,14.5071,121.0396,4,10.563
SHP_BUS_44,14.5766,121.0836,5,19.627
SHP_BUS_44,14.668,120.9438,6,37.78
SHP_BUS_45,14.5071,121.0396,1,0.0
SHP_BUS_45,14.5491,121.0478,2,4.753
SHP_BUS_45,14.6498,121.0466,3,15.951
SHP_BUS_45,14.6522,121.0328,4,17.459
SHP_BUS_45,14.668,120.9438,5,27.193
SHP_BUS_46,14.299,121.06,1,0.0
SHP_BUS_46,14.4225,121.0272,2,14.18
SHP_BUS_46,14.5491,121.0478,3,28.431
SHP_BUS_46,14.6498,121.0466,4,39.629
SHP_BUS_46,14.6522,121.0328,5,41.137
SHP_BUS_46,14.668,120.9438,6,50.871
SHP_BUS_47,14.668,120.9438,1,0.0
SHP_BUS_47,14.6624,120.9556,2,1.414
SHP_BUS_47,14.6561,120.984,3,4.548
SHP_BUS_47,14.5376,121.0003,4,17.841
SHP_BUS_47,14.4947,120.9925,5,22.685
SHP_BUS_48,14.299,121.06,1,0.0
SHP_BUS_48,14.4225,121.0272,2,14.18
SHP_BUS_48,14.5491,121.0478,3,28.431
SHP_BUS_48,14.593,120.9727,4,37.873
SHP_BUS_49,14.8288,120.9396,1,0.0
SHP_BUS_49,14.7023,120.9622,2,14.275
SHP_BUS_49,14.699,120.9611,3,14.66
SHP_BUS_49,14.6441,121.0399,4,25.106
SHP_BUS_49,14.6498,121.0466,5,26.066
SHP_BUS_49,14.5093,121.0182,6,41.985
SHP_BUS_50,14.7143,121.0095,1,0.0
SHP_BUS_50,14.6764,121.0136,2,4.237
SHP_BUS_50,14.6893,121.0645,3,9.897
SHP_BUS_50,14.6522,121.0328,4,15.249
SHP_BUS_50,14.6063,121.0808,5,22.51
SHP_BUS_50,14.5581,121.0635,6,28.184
SHP_BUS_50,14.5484,121.0546,7,29.626
SHP_BUS_50,14.4225,121.0272,8,43.933
SHP_BUS_51,14.7143,121.0095,1,0.0
SHP_BUS_51,14.6764,121.0136,2,4.237
SHP_BUS_51,14.6522,121.0328,3,7.629
SHP_BUS_51,14.6194,121.0533,4,11.892
SHP_BUS_52,14.7143,121.0095,1,0.0
SHP_BUS_52,14.69,121.008,2,2.707
SHP_BUS_52,14.699,120.9611,3,7.85
SHP_BUS_52,14.6066,121.0001,4,18.948
SHP_BUS_52,14.593,120.9727,5,22.261
SHP_BUS_52,14.4947,120.9925,6,33.398
SHP_BUS_53,14.6194,121.0533,1,0.0
SHP_BUS_53,14.5988,121.0319,2,3.248
SHP_BUS_53,14.5876,121.0567,3,6.193
SHP_BUS_53,14.299,121.06,4,38.286
SHP_BUS_54,14.5974,120.9817,1,0.0
SHP_BUS_54,14.5713,120.9913,2,3.081
SHP_BUS_54,14.5838,121.0044,3,5.06
SHP_BUS_55,14.4947,120.9925,1,0.0
SHP_BUS_55,14.42,120.94,2,10.047
SHP_BUS_55,14.33,120.95,3,20.113
SHP_BUS_55,14.3089,120.936,4,22.902
SHP_BUS_56,14.6289,121.1148,1,0.0
SHP_BUS_56,14.6289,121.1148,2,0.0
SHP_BUS_56,14.5581,121.0635,3,9.615
SHP_BUS_56,14.5484,121.0546,4,11.058
SHP_BUS_56,14.5491,121.0478,5,11.794
SHP_BUS_57,14.6289,121.1148,1,0.0
SHP_BUS_57,14.47,121.12,2,17.678
SHP_BUS_57,14.48,121.11,3,19.226
SHP_BUS_57,14.5484,121.0546,4,28.89
SHP_BUS_58,14.4225,121.0272,1,0.0
SHP_BUS_58,14.328,120.7726,2,29.368
SHP_BUS_59,14.6194,121.0533,1,0.0
SHP_BUS_59,14.3009,121.0138,2,35.67
SHP_BUS_59,14.33,120.95,3,43.268
SHP_BUS_60,14.5484,121.0546,1,0.0
SHP_BUS_60,14.542,121.0422,2,1.513
SHP_BUS_60,14.4225,121.0272,3,14.898
SHP_BUS_60,14.393,121.018,4,18.325
SHP_BUS_61,14.5491,121.0478,1,0.0
SHP_BUS_61,14.542,121.0422,2,0.993
SHP_BUS_61,14.4225,121.0272,3,14.379
SHP_BUS_61,14.393,121.018,4,17.805
SHP_BUS_62,14.5376,121.0003,1,0.0
SHP_BUS_62,14.5491,121.0478,2,5.27
SHP_BUS_62,14.5484,121.0546,3,6.006
SHP_BUS_62,14.4885,121.021,4,13.585
SHP_BUS_63,14.5491,121.0478,1,0.0
SHP_BUS_63,14.5484,121.0546,2,0.736
SHP_BUS_63,14.5491,121.0478,3,1.472
SHP_BUS_64,14.8215,121.0003,1,0.0
SHP_BUS_64,14.699,120.9611,2,14.259
SHP_BUS_64,14.6491,120.9671,3,19.845
SHP_BUS_64,14.6561,120.984,4,21.822
SHP_BUS_64,14.6522,121.0328,5,27.09
SHP_BUS_65,14.6289,121.1148,1,0.0
SHP_BUS_65,14.6289,121.1148,2,0.0
SHP_BUS_65,14.5581,121.0635,3,9.615
SHP_BUS_65,14.5422,121.074,4,11.713
SHP_BUS_65,14.5876,121.0567,5,17.094
SHP_BUS_65,14.4947,120.9925,6,29.522
SHP_BUS_PNR1,14.5071,121.0396,1,0.0
SHP_BUS_PNR1,14.5071,121.0396,2,0.0
SHP_BUS_PNR1,14.4985,121.0252,3,1.821
SHP_BUS_PNR1,14.473,121.0357,4,4.874
SHP_BUS_PNR1,14.4225,121.0272,5,10.563
SHP_BUS_PNR1,14.5986,120.9664,6,31.21
SHP_BUS_PNR2,14.4225,121.0272,1,0.0
SHP_BUS_PNR2,14.438,120.995,2,3.872
SHP_BUS_PNR2,14.593,120.9727,3,21.274
SHP_BUS_PNR2,14.5986,120.9664,4,22.194
SHP_P2P_RRCG_001,14.5491,121.0175,1,0.0
SHP_P2P_RRCG_001,14.542,121.0422,2,2.773
SHP_P2P_RRCG_001,14.4225,121.0272,3,16.159
SHP_P2P_RRCG_002,14.5818,121.0487,1,0.0
SHP_P2P_RRCG_002,14.542,121.0422,2,4.481
SHP_P2P_RRCG_002,14.4225,121.0272,3,17.866
SHP_P2P_RRCG_003,14.6404,121.114,1,0.0
SHP_P2P_RRCG_003,14.6458,121.0934,2,2.296
SHP_P2P_RRCG_003,14.5876,121.0567,3,9.877
SHP_P2P_RRCG_003,14.5491,121.0175,4,15.888
SHP_P2P_RRCG_004,14.578,121.1248,1,0.0
SHP_P2P_RRCG_004,14.5876,121.0567,2,7.406
SHP_P2P_RRCG_004,14.5491,121.0175,3,13.416
SHP_P2P_RRCG_005,14.7354,121.0497,1,0.0
SHP_P2P_RRCG_005,14.7188,121.0584,2,2.069
SHP_P2P_RRCG_005,14.6522,121.0328,3,9.97
SHP_P2P_RRCG_005,14.6498,121.0466,4,11.479
SHP_P2P_RRCG_005,14.5491,121.0175,5,23.106
SHP_P2P_RRCG_006,14.5491,121.0175,1,0.0
SHP_P2P_RRCG_006,14.542,121.0422,2,2.773
SHP_P2P_RRCG_006,14.4225,121.0272,3,16.159
SHP_P2P_RRCG_006,14.393,121.018,4,19.585
SHP_P2P_RRCG_007,14.5491,121.0175,1,0.0
SHP_P2P_RRCG_007,14.5876,121.0567,2,6.01
SHP_P2P_RRCG_007,14.5819,121.0851,3,9.132
SHP_P2P_RRCG_007,14.6309,121.0697,4,14.827
SHP_P2P_HM_001,14.5484,121.0546,1,0.0
SHP_P2P_HM_001,14.542,121.0422,2,1.513
SHP_P2P_HM_001,14.4225,121.0272,3,14.898
SHP_P2P_HM_002,14.5484,121.0546,1,0.0
SHP_P2P_HM_002,14.542,121.0422,2,1.513
SHP_P2P_HM_002,14.4225,121.0272,3,14.898
SHP_P2P_HM_002,14.4082,121.0415,4,17.112
SHP_P2P_HM_003,14.5491,121.0175,1,0.0
SHP_P2P_HM_003,14.542,121.0422,2,2.773
SHP_P2P_HM_003,14.4225,121.0272,3,16.159
SHP_P2P_HM_003,14.215,121.142,4,42.338
SHP_P2P_HM_004,14.5491,121.0175,1,0.0
SHP_P2P_HM_004,14.542,121.0422,2,2.773
SHP_P2P_HM_004,14.4225,121.0272,3,16.159
SHP_P2P_HM_004,14.2117,121.1565,4,43.426
SHP_P2P_UBE_001,14.5093,121.0182,1,0.0
SHP_P2P_UBE_001,14.5091,121.0196,2,0.152
