stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
MRT3-GUADALUPE,MRT3-09,Guadalupe Station (MRT-3),EDSA at Guadalupe; over Pasig River,14.5689,121.0469,ZONE_2,0,
MRT3-BUENDIA,MRT3-10,Buendia Station (MRT-3),EDSA at Sen Gil Puyat Ave (Buendia) Makati,14.5605,121.0450,ZONE_2,0,
MRT3-AYALA,MRT3-11,Ayala Station (MRT-3),EDSA at Ayala Ave Makati CBD,14.5491,121.0478,ZONE_2,0,
MRT3-MAGALLANES,MRT3-12,Magallanes Station (MRT-3),EDSA at Magallanes Interchange Makati,14.5420,121.0422,ZONE_2,0,
MRT3-TAFT,MRT3-13,Taft Avenue Station (MRT-3),EDSA at Taft Ave; LRT-1 EDSA interchange; southern terminus,14.5376,121.0003,ZONE_1,0,PS_TAFT_EDSA
PNR-TUTUBAN,PNR-01,Tutuban Station (PNR),SUSPENDED. PNR northern Manila terminus; near Divisoria,14.6064,120.9657,ZONE_1,0,
PNR-ESPANA,PNR-02,España Station (PNR),SUSPENDED. PNR at España Blvd Sampaloc,14.6053,120.9956,ZONE_1,0,
PNR-BLUMENTRITT,PNR-03,Blumentritt Station (PNR),SUSPENDED. PNR at Blumentritt Rd Manila,14.6117,120.9911,ZONE_1,0,
PNR-TAYUMAN,PNR-04,Tayuman Station (PNR),SUSPENDED. PNR station Sta Cruz Manila,14.6098,120.9883,ZONE_1,0,
PNR-BAMBANG,PNR-05,Bambang Station (PNR),SUSPENDED. PNR at Bambang Manila,14.5994,120.9880,ZONE_1,0,
PNR-PACO,PNR-06,Paco Station (PNR),SUSPENDED. PNR station Paco Manila near Pineda St,14.5793,120.9888,ZONE_1,0,
PNR-PANDACAN,PNR-07,Pandacan Station (PNR),SUSPENDED. PNR station Pandacan Manila,14.5838,121.0044,ZONE_1,0,
PNR-STA-MESA,PNR-08,Sta. Mesa Station (PNR),SUSPENDED. PNR station Sta Mesa Manila,14.5924,121.0127,ZONE_1,0,
PNR-SAN-ANDRES,PNR-09,San Andres Station (PNR),SUSPENDED. PNR station San Andres Bukid Manila,14.5713,120.9913,ZONE_1,0,
PNR-BUENDIA,PNR-10,Buendia Station (PNR),SUSPENDED. PNR at Buendia (Sen Gil Puyat) Makati,14.5562,121.0108,ZONE_2,0,
PNR-MAKATIMED,PNR-11,Makati Med / EDSA Station (PNR),SUSPENDED. PNR at EDSA near Makati Med,14.5656,121.0152,ZONE_2,0,
PNR-NICHOLS,PNR-12,Nichols Station (PNR),SUSPENDED. PNR at Nichols area Pasay,14.5268,121.0043,ZONE_2,0,
PNR-BICUTAN,PNR-13,Bicutan Station (PNR),SUSPENDED. PNR station Bicutan Parañaque,14.4985,121.0252,ZONE_3,0,
PNR-SUCAT,PNR-14,Sucat Station (PNR),SUSPENDED. PNR station Sucat Parañaque,14.4730,121.0357,ZONE_3,0,
PNR-ALABANG,PNR-15,Alabang Station (PNR),SUSPENDED. PNR at Alabang Muntinlupa; interchange area,14.4335,121.0204,ZONE_3,0,
PNR-MUNTINLUPA,PNR-16,Muntinlupa Station (PNR),SUSPENDED. PNR station Muntinlupa City,14.4097,121.0472,ZONE_3,0,
PNR-FTI,PNR-17,FTI Station (PNR),SUSPENDED. PNR southern NCR terminus; Food Terminal Inc Taguig,14.5071,121.0396,ZONE_2,0,
EDSA-PITX,EDSA-S01,PITX (EDSA Carousel),EDSA Carousel: PITX intermodal terminal; EDSA south terminus,14.4947,120.9925,ZONE_3,0,
EDSA-SM-MOA,EDSA-S02,SM Mall of Asia (EDSA Carousel),EDSA Carousel stop; MOA complex Pasay curbside,14.5347,120.9834,ZONE_1,0,
EDSA-DFA,EDSA-S03,DFA (EDSA Carousel),EDSA Carousel stop; DFA Aseana Parañaque-Pasay border,14.5249,120.9930,ZONE_3,0,
EDSA-ONE-AYALA-SB,EDSA-S04,One Ayala (EDSA Carousel SB),EDSA Carousel southbound only; One Ayala Makati,14.5480,121.0200,ZONE_2,0,
EDSA-TRAMO-SB,EDSA-S05,Tramo (EDSA Carousel SB),EDSA Carousel southbound only; Tramo St Pasay,14.5425,121.0105,ZONE_1,0,
EDSA-TAFT-PASAY,EDSA-S06,Taft / Pasay Rotonda (EDSA Carousel),EDSA at Taft Ave Pasay; LRT-1 EDSA / MRT-3 Taft transfer,14.5376,121.0003,ZONE_1,0,
EDSA-BUENDIA,EDSA-S07,Buendia (EDSA Carousel),EDSA at Sen Gil Puyat Ave / Buendia Makati; MRT-3 Buendia,14.5605,121.0350,ZONE_2,0,
EDSA-AYALA,EDSA-S08,Ayala (EDSA Carousel),EDSA at Ayala Ave Makati; MRT-3 Ayala adjacent,14.5490,121.0430,ZONE_2,0,
EDSA-MAGALLANES,EDSA-S09,Magallanes (EDSA Carousel),EDSA at Magallanes interchange; MRT-3 Magallanes,14.5420,121.0420,ZONE_2,0,
EDSA-GUADALUPE,EDSA-S10,Guadalupe (EDSA Carousel),EDSA at Guadalupe bridge over Pasig River,14.5689,121.0350,ZONE_2,0,
EDSA-BONI,EDSA-S11,Boni (EDSA Carousel),EDSA at Boni Ave Mandaluyong; MRT-3 Boni,14.5762,121.0390,ZONE_2,0,
EDSA-SHAW,EDSA-S12,Shaw Boulevard (EDSA Carousel),EDSA at Shaw Blvd Mandaluyong; MRT-3 Shaw,14.5818,121.0430,ZONE_2,0,
EDSA-ORTIGAS,EDSA-S13,Ortigas (EDSA Carousel),EDSA at Ortigas Ave; MRT-3 Ortigas; Pasig / Mandaluyong border,14.5876,121.0460,ZONE_2,0,
EDSA-CUBAO,EDSA-S14,Cubao (EDSA Carousel),EDSA at P Tuazon / Aurora Blvd Cubao; MRT-3 Cubao,14.6222,121.0430,ZONE_2,0,
EDSA-SANTOLAN,EDSA-S15,Santolan-Annapolis (EDSA Carousel),EDSA at Annapolis St San Juan; MRT-3 Santolan,14.6090,121.0380,ZONE_2,0,
EDSA-KAMUNING,EDSA-S16,GMA-Kamuning (EDSA Carousel),EDSA at Kamuning Rd QC; MRT-3 GMA-Kamuning,14.6356,121.0310,ZONE_2,0,
EDSA-QUEZON-AVE,EDSA-S17,Quezon Avenue (EDSA Carousel),EDSA at Quezon Ave QC; MRT-3 Quezon Ave,14.6441,121.0299,ZONE_2,0,
EDSA-TRINOMA,EDSA-S18,TriNoma (EDSA Carousel),EDSA at TriNoma / North Ave QC,14.6510,121.0320,ZONE_2,0,
EDSA-SM-NORTH,EDSA-S19,SM City North EDSA (EDSA Carousel),EDSA at SM North EDSA; MRT-3 North Ave terminus,14.6522,121.0328,ZONE_2,0,
EDSA-BALINTAWAK,EDSA-S20,Balintawak (EDSA Carousel),EDSA at Balintawak Market Caloocan,14.6634,121.0100,ZONE_2,0,
EDSA-MONUMENTO,EDSA-S21,Monumento (EDSA Carousel),EDSA at Monumento Circle Caloocan,14.6561,120.9840,ZONE_2,0,
EDSA-FAIRVIEW,EDSA-S22,Fairview (EDSA Carousel),EDSA northward extension stop near Fairview QC,14.7120,121.0590,ZONE_2,0,
TERM_PITX,TERM-01,PITX (Paranaque Integrated Terminal Exchange),Major southern NCR intermodal terminal; PITX Coastal Road Parañaque,14.4947,120.9925,ZONE_3,0,
TERM_CUBAO,TERM-02,Cubao Bus Terminal,Major bus / jeepney hub; EDSA at Aurora Blvd Quezon City,14.6194,121.0533,ZONE_2,0,
TERM_PASAY,TERM-03,Pasay Bus Terminal (EDSA / Taft),Bus terminal complex near LRT-1 EDSA and MRT-3 Taft; Pasay,14.5376,121.0003,ZONE_1,0,
TERM_MONUMENTO,TERM-04,Monumento Terminal,Major northern Manila terminal; Caloocan Rizal Ave at EDSA,14.6561,120.9840,ZONE_2,0,
TERM_FAIRVIEW,TERM-05,Fairview Terminal,Large QC terminal; Commonwealth Ave at Regalado QC,14.7188,121.0584,ZONE_2,0,
TERM_BACLARAN,TERM-06,Baclaran Terminal,LRT-1 Baclaran area terminal; Pasay jeepney hub,14.5339,120.9980,ZONE_1,0,
TERM_DIVISORIA,TERM-07,Divisoria Terminal,Major Manila jeepney hub; Divisoria market area Binondo,14.5986,120.9664,ZONE_1,0,
TERM_QUIAPO,TERM-08,Quiapo Terminal,Central Manila jeepney hub; Quezon Blvd near LRT-1 Carriedo,14.5974,120.9817,ZONE_1,0,
TERM_LAWTON,TERM-09,Lawton (Plaza Lawton / Liwasang Bonifacio),Intramuros / Manila central terminal; Roxas Blvd at P Burgos Dr,14.5930,120.9727,ZONE_1,0,
TERM_STA_CRUZ,TERM-10,Santa Cruz / Quiapo Terminal,North Manila terminal; Rizal Ave / Quezon Blvd area,14.5980,120.9800,ZONE_1,0,
TERM_SM_NORTH,TERM-11,SM North EDSA Terminal,Large jeepney/bus terminal; SM City North EDSA Quezon City,14.6522,121.0328,ZONE_2,0,
TERM_BLUMENTRITT,TERM-12,Blumentritt Terminal,LRT-1 Blumentritt area; Manila Caloocan border,14.6173,120.9900,ZONE_1,0,
TERM_NLET,TERM-13,NLET (North Luzon Expressway Terminal),Provincial bus terminal; NLEX junction Valenzuela,14.6990,120.9620,ZONE_3,0,
TERM_BOCAUE,TERM-14,Bocaue Bus Terminal,Victory Liner and provincial buses; NLEX Bulacan,14.7996,120.9219,ZONE_4,0,
TERM_EDSA_FARMER,TERM-15,Cubao Farmer's Plaza / Gateway Terminal,Jeepney/bus cluster; Ali Mall / Gateway Mall EDSA Cubao,14.6194,121.0533,ZONE_2,0,
TERM_ARANETA,TERM-16,Araneta Center Bus Terminal,Major bus hub; Araneta City Cubao QC,14.6194,121.0508,ZONE_2,0,
TERM_BICUTAN,TERM-17,Bicutan / Sucat Terminal,Southern terminal; Parañaque near FTI / SLEX,14.4985,121.0252,ZONE_3,0,
TERM_COGEO,TERM-18,Cogeo / Antipolo Terminal,Eastern terminal; Masinag / Antipolo SLEX junction,14.6289,121.1148,ZONE_4,0,
QCBUS-1A-N,QB1A-N,QCityBus Route 1A — Novaliches Stop,QCityBus R1A: Novaliches Bayan terminus stop; Commonwealth Ave,14.7380,121.0550,ZONE_2,0,
QCBUS-1A-QC-HALL,QB1A-H,QCityBus Route 1A — QC Hall Stop,QCityBus R1A: Quezon City Hall stop; Elliptical Rd,14.6498,121.0466,ZONE_2,0,
QCBUS-1A-SM-NORTH,QB1A-S,QCityBus Route 1A — SM North Stop,QCityBus R1A: SM North EDSA stop,14.6522,121.0328,ZONE_2,0,
QCBUS-1A-PAY,QB1A-P,QCityBus Route 1A — Payatas Stop,QCityBus R1A: Payatas deviation stop Quezon City,14.7164,121.0832,ZONE_2,0,
QCBUS-1B-LITEX,QB1B-L,QCityBus Route 1B — Litex Stop,QCityBus R1B: Litex Rd terminal near Batasan QC,14.6969,121.0960,ZONE_2,0,
QCBUS-1B-BATASAN,QB1B-B,QCityBus Route 1B — Batasan Stop,QCityBus R1B: Batasan Complex QC (House of Representatives),14.6893,121.0965,ZONE_2,0,
QCBUS-1B-FAIR,QB1B-F,QCityBus Route 1B — Fairview Stop,QCityBus R1B: Fairview terminal stop,14.7188,121.0584,ZONE_2,0,
QCBUS-2A-SAUYO,QB2A-S,QCityBus Route 2A — Sauyo Stop,QCityBus R2A: Sauyo Rd QC western endpoint,14.6897,121.0226,ZONE_2,0,
QCBUS-2A-MH-DEL-PILAR,QB2A-M,QCityBus Route 2A — MH Del Pilar Stop,QCityBus R2A: M H Del Pilar St QC,14.6680,121.0368,ZONE_2,0,
QCBUS-2A-PROJ6,QB2A-P,QCityBus Route 2A — Project 6 Stop,QCityBus R2A: Project 6 stop; EDSA near Quezon Ave,14.6520,121.0360,ZONE_2,0,
QCBUS-2A-CUBAO,QB2A-C,QCityBus Route 2A — Cubao Stop,QCityBus R2A: Cubao EDSA transfer stop,14.6194,121.0533,ZONE_2,0,
QCBUS-2B-CAMARIN,QB2B-C,QCityBus Route 2B — Camarin Stop,QCityBus R2B: Camarin Caloocan northernmost stop,14.7280,121.0540,ZONE_2,0,
QCBUS-2B-BAGONG-SILANG,QB2B-B,QCityBus Route 2B — Bagong Silang Stop,QCityBus R2B: Bagong Silang Caloocan stop,14.7211,121.0585,ZONE_2,0,
QCBUS-2B-NOVALICHES,QB2B-N,QCityBus Route 2B — Novaliches Stop,QCityBus R2B: Novaliches stop on Commonwealth,14.7380,121.0550,ZONE_2,0,
QCBUS-3A-MINDANAO,QB3A-M,QCityBus Route 3A — Mindanao Ave Stop,QCityBus R3A terminus at Mindanao Ave QC,14.6764,121.0136,ZONE_2,0,
QCBUS-3A-TANDANG-SORA,QB3A-T,QCityBus Route 3A — Tandang Sora Stop,QCityBus R3A: Tandang Sora Ave QC,14.6697,121.0321,ZONE_2,0,
QCBUS-3A-ELLIPTICAL,QB3A-E,QCityBus Route 3A — Elliptical Rd Stop,QCityBus R3A: Elliptical Rd QC Hall area,14.6498,121.0466,ZONE_2,0,
QCBUS-3B-EAST-AVE,QB3B-E,QCityBus Route 3B — East Avenue Stop,QCityBus R3B: East Ave Medical Center QC,14.6431,121.0476,ZONE_2,0,
QCBUS-3B-VISAYAS,QB3B-V,QCityBus Route 3B — Visayas Ave Stop,QCityBus R3B: Visayas Ave QC,14.6600,121.0256,ZONE_2,0,
QCBUS-3B-TANDANG-SORA,QB3B-T,QCityBus Route 3B — Tandang Sora Extension,QCityBus R3B: Tandang Sora extension stop QC,14.6697,121.0321,ZONE_2,0,
QCBUS-4A-BATASAN,QB4A-B,QCityBus Route 4A — Batasan Stop,QCityBus R4A: Batasan Complex terminal QC,14.6893,121.0965,ZONE_2,0,
QCBUS-4A-COMMONWEALTH,QB4A-C,QCityBus Route 4A — Commonwealth / EDSA Stop,QCityBus R4A: Commonwealth at EDSA stop QC,14.6522,121.0328,ZONE_2,0,
QCBUS-4A-PROJECT-6,QB4A-P,QCityBus Route 4A — Project 6 Stop,QCityBus R4A: Project 6 EDSA area QC,14.6520,121.0360,ZONE_2,0,
QCBUS-4B-NOVALICHES-BKT,QB4B-N,QCityBus Route 4B — Novaliches Bkt Stop,QCityBus R4B: Novaliches Bukid QC northernmost stop,14.7434,121.0537,ZONE_2,0,
QCBUS-4B-TANDANG-SORA2,QB4B-T,QCityBus Route 4B — Tandang Sora Stop,QCityBus R4B: Tandang Sora Ave QC,14.6697,121.0321,ZONE_2,0,
QCBUS-5A-KAMUNING,QB5A-K,QCityBus Route 5A — Kamuning Stop,QCityBus R5A: Kamuning Rd QC,14.6356,121.0412,ZONE_2,0,
QCBUS-5A-SCOUT-ALBANO,QB5A-S,QCityBus Route 5A — Scout Albano Stop,QCityBus R5A: Scout Albano QC,14.6331,121.0350,ZONE_2,0,
QCBUS-5A-TIMOG,QB5A-T,QCityBus Route 5A — Timog Ave Stop,QCityBus R5A: Timog Ave QC,14.6380,121.0396,ZONE_2,0,
QCBUS-5B-QUEZON-AVE,QB5B-Q,QCityBus Route 5B — Quezon Ave Stop,QCityBus R5B: Quezon Ave EDSA QC; MRT-3 Quezon Ave,14.6441,121.0399,ZONE_2,0,
QCBUS-5B-EAST-AVE2,QB5B-E,QCityBus Route 5B — East Avenue Stop,QCityBus R5B: East Ave / QC Hall area,14.6431,121.0476,ZONE_2,0,
QCBUS-5B-ELLIPTICAL2,QB5B-L,QCityBus Route 5B — Elliptical Rd Stop,QCityBus R5B: Elliptical Rd QC Hall,14.6498,121.0466,ZONE_2,0,
QCBUS-6A-PANGARAP,QB6A-P,QCityBus Route 6A — Pangarap Village Stop,QCityBus R6A: Pangarap Village Caloocan,14.7083,120.9850,ZONE_2,0,
QCBUS-6A-BAGBAG,QB6A-B,QCityBus Route 6A — Bagbag Stop,QCityBus R6A: Bagbag Quezon City north,14.7520,121.0490,ZONE_2,0,
QCBUS-6A-MARCOS,QB6A-M,QCityBus Route 6A — Marcos Highway Stop,QCityBus R6A: Marcos Highway QC east,14.6458,121.0934,ZONE_2,0,
QCBUS-6B-NOVALICHES2,QB6B-N,QCityBus Route 6B — Novaliches 2 Stop,QCityBus R6B: Novaliches QC 2nd alignment stop,14.7350,121.0530,ZONE_2,0,
QCBUS-6B-ZABARTE,QB6B-Z,QCityBus Route 6B — Zabarte Stop,QCityBus R6B: Zabarte Rd Novaliches QC,14.7460,121.0397,ZONE_2,0,
QCBUS-7A-UP-DILIMAN,QB7A-U,QCityBus Route 7A — UP Diliman Stop,QCityBus R7A: UP Diliman campus loop stop,14.6547,121.0659,ZONE_2,0,
QCBUS-7A-KATIPUNAN,QB7A-K,QCityBus Route 7A — Katipunan Stop,QCityBus R7A: Katipunan Ave stop near LRT-2,14.6309,121.0697,ZONE_2,0,
QCBUS-7A-PROJ-4,QB7A-P,QCityBus Route 7A — Project 4 Stop,QCityBus R7A: Project 4 Quezon City,14.6257,121.0600,ZONE_2,0,
QCBUS-7B-MARIKINA,QB7B-M,QCityBus Route 7B — Marikina Stop,QCityBus R7B: Marikina City Hall area stop,14.6530,121.1024,ZONE_2,0,
QCBUS-7B-CAINTA,QB7B-C,QCityBus Route 7B — Cainta Stop,QCityBus R7B: Cainta Rizal terminal stop (outside NCR),14.5785,121.1234,ZONE_4,0,
QCBUS-8A-VETERAN,QB8A-V,QCityBus Route 8A — Veterans Stop,QCityBus R8A: Veterans Memorial Medical Center QC,14.6490,121.0370,ZONE_2,0,
QCBUS-8A-NIA-RD,QB8A-N,QCityBus Route 8A — NIA Road Stop,QCityBus R8A: NIA Rd Quezon City,14.6420,121.0540,ZONE_2,0,
QCBUS-8A-ANONAS,QB8A-A,QCityBus Route 8A — Anonas Stop,QCityBus R8A: Anonas area QC near LRT-2 Anonas,14.6237,121.0620,ZONE_2,0,
QCBUS-8B-COMMONWEALTH2,QB8B-C,QCityBus Route 8B — Commonwealth 2 Stop,QCityBus R8B: Commonwealth Ave QC 2nd stop,14.6700,121.0500,ZONE_2,0,
QCBUS-8B-LITEX2,QB8B-L,QCityBus Route 8B — Litex Extension Stop,QCityBus R8B: Litex extension stop QC,14.6969,121.0960,ZONE_2,0,
QCBUS-CENTRAL-DEPOT,QB-DEP,QCityBus Central Terminal / Depot,QCityBus main terminal and depot at East Ave QC,14.6431,121.0476,ZONE_2,0,
BGC-MARKET-MARKET,BGC-01,Market! Market! (BGC Bus),BGC Bus terminus at Market! Market! mall BGC Taguig,14.5484,121.0546,ZONE_2,0,
BGC-BONIFACIO-HIGH,BGC-02,Bonifacio High Street (BGC Bus),BGC Bus stop at Bonifacio High Street Central,14.5498,121.0483,ZONE_2,0,
BGC-ST-LUKES-BGC,BGC-03,St. Luke's Medical Center BGC (BGC Bus),BGC Bus at St Luke's hospital BGC Taguig,14.5551,121.0482,ZONE_2,0,
BGC-BURGOS-CIRCLE,BGC-04,Burgos Circle (BGC Bus),BGC Bus stop at Burgos Circle Park,14.5517,121.0515,ZONE_2,0,
BGC-SERENDRA,BGC-05,Serendra / One Bonifacio High (BGC Bus),BGC Bus at Serendra / One Bonifacio High BGC,14.5497,121.0556,ZONE_2,0,
BGC-7TH-AVE-26ST,BGC-06,7th Ave & 26th St (BGC Bus),BGC Bus at 7th Ave and 26th St corner BGC,14.5555,121.0538,ZONE_2,0,
BGC-PARK-TRIANGLE,BGC-07,Park Triangle (BGC Bus),BGC Bus at Park Triangle corporate park,14.5586,121.0515,ZONE_2,0,
BGC-NET-PARK,BGC-08,Net Park (BGC Bus),BGC Bus stop at Net Park BGC Taguig,14.5596,121.0484,ZONE_2,0,
BGC-MCKINLEY-HILL,BGC-09,McKinley Hill (BGC Bus),BGC Bus at McKinley Hill access Taguig,14.5421,121.0577,ZONE_2,0,
BGC-MCKINLEY-PARKWAY,BGC-10,McKinley Parkway (BGC Bus),BGC Bus along McKinley Pkwy Taguig,14.5453,121.0570,ZONE_2,0,
BGC-VENICE-PIAZZA,BGC-11,Venice Grand Canal / Piazza (BGC Bus),BGC Bus at Venice Grand Canal McKinley Hill,14.5364,121.0581,ZONE_2,0,
